GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34
0500000US01001,01001,"Autauga County, Alabama",20071,387,2307,345,17764,483,32.3,1.5,17.0,4.9,34.3,1.6,37.4,1.9,52.5,8.8,35.4,1.8,12.1,1.9,49.1,8.7,7.3,1.4,30.2,2.2,48.4,7.2,27.8,2.2,99.0,0.5,97.0,3.3,99.3,0.4,81.5,1.0,64.6,6.7,83.6,1.3,16.7,0.9,32.4,6.4,14.7,1.3,0.2,0.2,0.0,1.3,0.3,0.2,0.4,0.2,0.0,1.3,0.4,0.2,0.0,0.1,0.0,1.3,0.0,0.2,0.3,0.3,0.0,1.3,0.3,0.3,1.0,0.5,3.0,3.3,0.7,0.4,1.7,0.5,2.2,2.5,1.6,0.5,80.2,1.0,62.4,7.0,82.5,1.4,53682,1500,18983,4361,58113,3452,14132,427,1627,266,12505,446,15.2,1.9,28.2,9.1,13.5,1.7,30.7,2.6,36.6,8.6,30.0,2.5,54.1,2.6,35.2,9.6,56.6,2.5,1.0,,,,,
0500000US01003,01003,"Baldwin County, Alabama",73283,1029,6579,634,66704,1106,40.3,0.8,21.5,3.7,42.1,0.9,29.7,1.0,60.4,5.2,26.7,1.1,12.7,0.9,53.3,6.3,8.7,0.7,27.1,1.3,49.8,6.0,24.8,1.2,98.9,0.3,97.0,2.0,99.1,0.3,89.0,0.5,69.0,5.1,90.9,0.7,7.9,0.4,24.3,4.4,6.3,0.5,0.6,0.2,1.5,1.1,0.5,0.2,0.6,0.1,1.0,0.9,0.5,0.2,0.0,0.1,0.0,0.5,0.0,0.1,0.9,0.3,1.2,1.1,0.8,0.3,1.1,0.3,3.0,2.0,0.9,0.3,2.4,0.3,4.5,2.3,2.2,0.4,87.4,0.6,65.7,5.4,89.5,0.7,50221,1574,20265,1697,53848,1330,51903,1185,5237,555,46666,1219,20.1,1.0,21.9,5.2,19.9,1.1,31.1,1.6,44.1,6.4,29.7,1.5,48.8,1.5,34.0,5.4,50.4,1.6,1.1,,,,,
0500000US01005,01005,"Barbour County, Alabama",9200,329,2105,219,7095,302,41.7,1.8,26.8,4.8,46.1,2.3,32.6,2.2,54.8,5.1,26.0,2.4,24.7,2.3,66.7,5.6,12.3,2.2,38.4,2.7,51.1,6.0,34.7,2.8,98.6,0.6,96.9,2.0,99.1,0.6,52.6,2.0,24.4,4.5,60.9,2.7,43.1,2.1,72.1,4.7,34.4,2.8,0.3,0.4,0.0,1.4,0.3,0.5,0.4,0.3,0.0,1.4,0.5,0.4,0.0,0.3,0.0,1.4,0.0,0.4,2.3,1.0,0.4,0.5,2.9,1.3,1.4,0.6,3.1,2.0,0.9,0.6,3.2,0.9,0.9,1.0,3.9,1.2,51.7,2.0,23.9,4.4,59.9,2.7,32911,3465,12287,1458,41496,1872,6062,302,1368,177,4694,251,21.5,3.2,23.2,7.2,21.0,3.1,37.0,3.8,56.5,8.3,31.3,3.8,41.6,3.2,20.3,6.4,47.7,3.5,2.9,,,,,
0500000US01007,01007,"Bibb County, Alabama",7091,296,1194,258,5897,357,40.3,2.5,24.7,9.2,43.4,3.2,37.5,3.5,59.6,11.1,33.0,3.9,19.0,3.4,50.0,9.1,12.8,4.0,32.9,3.9,34.7,9.6,32.5,4.2,99.7,0.4,100.0,2.5,99.6,0.4,81.1,2.6,58.9,10.3,85.6,3.6,18.2,2.6,41.1,10.3,13.6,3.6,0.3,0.3,0.0,2.5,0.4,0.3,0.0,0.4,0.0,2.5,0.0,0.5,0.0,0.4,0.0,2.5,0.0,0.5,0.0,0.4,0.0,2.5,0.0,0.5,0.3,0.4,0.0,2.5,0.4,0.4,1.2,0.8,0.0,2.5,1.5,1.0,79.9,2.8,58.9,10.3,84.2,3.6,36447,3420,17309,3011,42385,3605,5337,298,1002,239,4335,319,23.9,3.6,32.5,11.9,21.9,3.4,36.7,4.8,56.3,12.8,32.2,5.7,39.4,4.7,11.2,7.6,45.9,5.4,3.0,,,,,
0500000US01009,01009,"Blount County, Alabama",21108,421,2788,299,18320,497,39.9,1.3,23.2,6.7,42.5,1.5,36.0,1.7,65.4,6.4,31.6,1.6,14.7,1.3,52.3,7.3,9.0,1.2,33.0,2.0,49.9,8.4,30.5,1.7,98.7,0.4,97.8,1.6,98.9,0.5,96.1,0.7,95.2,2.0,96.2,0.8,1.1,0.3,1.7,1.1,1.0,0.3,0.4,0.3,0.6,0.9,0.3,0.3,0.2,0.1,0.0,1.1,0.2,0.1,0.0,0.1,0.0,1.1,0.0,0.2,1.1,0.5,0.3,0.6,1.2,0.6,1.3,0.4,2.2,1.6,1.1,0.5,5.1,0.6,6.4,2.7,4.9,0.7,92.1,0.8,90.2,3.4,92.4,1.0,44145,2412,22468,4478,49092,2401,15667,531,2275,298,13392,530,18.9,1.8,26.9,6.7,17.5,1.9,35.7,2.9,46.7,8.3,33.8,2.9,45.4,2.6,26.3,7.5,48.7,2.8,1.8,,,,,
0500000US01011,01011,"Bullock County, Alabama",3741,246,804,187,2937,277,44.3,4.9,36.9,10.5,46.3,6.3,33.4,4.5,45.1,11.5,30.2,5.3,22.5,5.6,60.4,12.4,12.1,4.9,34.5,5.7,49.3,13.6,30.5,5.3,100.0,0.2,100.0,3.7,100.0,0.3,35.2,5.3,14.3,9.8,40.9,6.1,64.8,5.3,85.7,9.8,59.0,6.1,0.0,0.8,0.0,3.7,0.0,1.0,0.0,0.8,0.0,3.7,0.0,1.0,0.0,0.8,0.0,3.7,0.0,1.0,0.0,0.8,0.0,3.7,0.0,1.0,0.0,0.2,0.0,3.7,0.0,0.3,3.8,3.1,1.7,3.0,4.3,3.9,31.4,3.9,12.6,9.5,36.6,4.8,32033,7708,9821,5556,42842,8024,2389,290,527,170,1862,252,20.6,6.4,50.5,15.6,12.1,5.0,33.3,6.7,30.7,14.8,34.0,7.3,46.1,7.1,18.8,12.2,53.8,7.5,0.6,,,,,
0500000US01013,01013,"Butler County, Alabama",8235,223,2002,206,6233,202,41.5,2.0,29.1,5.2,45.5,2.7,30.7,2.2,60.9,6.0,21.0,2.2,28.1,2.9,64.1,5.9,16.5,2.7,37.9,2.7,44.4,6.1,35.8,3.0,99.4,0.4,98.9,1.1,99.6,0.4,57.2,1.6,27.3,4.8,66.8,2.3,41.0,1.8,71.2,4.9,31.3,2.6,0.2,0.2,0.4,0.5,0.2,0.2,0.8,0.8,0.0,1.5,1.0,1.0,0.0,0.4,0.0,1.5,0.0,0.5,0.2,0.3,0.0,1.5,0.3,0.4,0.6,0.4,1.1,1.1,0.4,0.4,1.0,0.5,0.9,1.5,1.0,0.6,56.4,1.6,26.3,4.6,66.1,2.3,29918,2270,13953,1273,38114,3716,5346,272,1522,192,3824,235,24.0,3.0,31.4,7.2,21.1,3.0,38.5,3.7,50.5,7.6,33.7,3.8,37.5,3.2,18.1,5.2,45.2,3.7,1.3,,,,,
0500000US01015,01015,"Calhoun County, Alabama",45196,665,8688,587,36508,634,37.5,0.9,22.2,2.7,41.1,1.0,30.0,1.2,49.9,3.5,25.3,1.3,20.9,1.3,60.1,3.9,11.6,1.2,35.2,1.3,45.8,3.7,32.6,1.5,99.1,0.2,98.5,0.9,99.2,0.2,76.8,0.8,57.1,2.9,81.4,1.0,20.5,0.7,40.6,2.8,15.8,0.9,0.3,0.2,0.5,0.5,0.3,0.1,0.5,0.2,0.0,0.3,0.6,0.2,0.0,0.1,0.0,0.3,0.1,0.1,0.9,0.3,0.3,0.3,1.0,0.3,0.9,0.2,1.5,0.9,0.8,0.2,2.3,0.3,2.5,1.4,2.2,0.4,75.6,0.8,55.6,3.0,80.4,1.1,39962,1210,15635,1434,47146,1287,29999,740,5997,517,24002,638,19.1,1.2,21.7,3.3,18.4,1.3,38.1,1.7,53.7,4.2,34.2,2.0,42.8,1.9,24.6,3.8,47.4,2.0,2.9,,,,,
0500000US01017,01017,"Chambers County, Alabama",13722,321,2516,281,11206,347,40.5,1.4,26.6,5.3,43.6,1.8,28.0,1.8,53.6,6.8,22.3,2.0,23.1,2.5,66.3,5.6,13.3,2.3,36.6,2.1,44.3,4.9,34.9,2.6,99.3,0.4,99.6,0.5,99.3,0.4,60.3,1.4,29.7,4.9,67.2,1.8,38.3,1.3,69.4,4.7,31.3,1.8,0.1,0.2,0.6,1.0,0.0,0.3,0.5,0.2,0.0,1.2,0.6,0.2,0.0,0.2,0.0,1.2,0.0,0.3,0.1,0.1,0.0,1.2,0.1,0.1,0.7,0.4,0.4,0.5,0.7,0.4,0.3,0.2,0.6,0.7,0.2,0.2,60.2,1.3,29.3,5.0,67.2,1.8,32402,1539,12678,1685,38601,2788,8999,432,1904,257,7095,414,21.9,2.6,31.5,7.4,19.3,2.3,41.6,3.2,52.3,7.3,38.8,3.6,36.5,3.1,16.3,4.6,41.9,3.6,1.9,,,,,
0500000US01019,01019,"Cherokee County, Alabama",11656,449,2050,266,9606,445,41.9,2.0,27.1,8.2,45.1,2.4,30.1,2.9,53.8,8.5,25.1,3.1,20.0,2.4,56.4,7.9,12.2,2.2,39.7,3.3,46.6,9.1,38.2,3.2,99.5,0.4,98.7,1.3,99.6,0.3,93.2,0.9,89.4,4.0,94.0,1.2,5.0,0.8,8.1,3.9,4.3,1.0,0.8,0.4,0.9,1.2,0.8,0.5,0.3,0.2,0.3,0.6,0.2,0.2,0.0,0.1,0.0,1.5,0.0,0.1,0.2,0.3,0.0,1.5,0.2,0.4,0.5,0.4,1.3,1.3,0.4,0.3,2.2,0.5,8.7,4.7,0.8,0.9,91.4,0.8,80.6,6.0,93.8,1.3,34907,2935,16674,2044,42537,3863,8384,468,1567,262,6817,439,26.1,2.8,31.0,7.4,25.0,3.1,32.8,3.4,44.9,8.6,30.0,3.6,41.1,3.4,24.1,7.9,45.0,3.8,2.9,,,,,
