DATE,LNS17100000
2010-01-01,2522
2010-02-01,2480
2010-03-01,2613
2010-04-01,2757
2010-05-01,2675
2010-06-01,2371
2010-07-01,2501
2010-08-01,2465
2010-09-01,2347
2010-10-01,2463
2010-11-01,2448
2010-12-01,2612
2011-01-01,2376
2011-02-01,2308
2011-03-01,2366
2011-04-01,2252
2011-05-01,2357
2011-06-01,2398
2011-07-01,2371
2011-08-01,2375
2011-09-01,2382
2011-10-01,2509
2011-11-01,2502
2011-12-01,2482
2012-01-01,2387
2012-02-01,2343
2012-03-01,2370
2012-04-01,2242
2012-05-01,2260
2012-06-01,2248
2012-07-01,2276
2012-08-01,2229
2012-09-01,2359
2012-10-01,2351
2012-11-01,2189
2012-12-01,2145
2013-01-01,2274
2013-02-01,2333
2013-03-01,2151
2013-04-01,2196
2013-05-01,2275
2013-06-01,2291
2013-07-01,2344
2013-08-01,2162
2013-09-01,2085
2013-10-01,2050
2013-11-01,2162
2013-12-01,2195
2014-01-01,2207
2014-02-01,2272
2014-03-01,2289
2014-04-01,2233
2014-05-01,2022
2014-06-01,2176
2014-07-01,1986
2014-08-01,2109
2014-09-01,2166
2014-10-01,2244
2014-11-01,2022
2014-12-01,2142
2015-01-01,1910
2015-02-01,2028
2015-03-01,2037
2015-04-01,2028
2015-05-01,1981
2015-06-01,2179
2015-07-01,1823
2015-08-01,2064
2015-09-01,1957
2015-10-01,1907
2015-11-01,1979
2015-12-01,2097
2016-01-01,1952
2016-02-01,1687
2016-03-01,1829
2016-04-01,1806
2016-05-01,1995
2016-06-01,1935
2016-07-01,1894
2016-08-01,1815
2016-09-01,1995
2016-10-01,2051
2016-11-01,2039
2016-12-01,1891
2017-01-01,2010
2017-02-01,2026
2017-03-01,1862
2017-04-01,1896
2017-05-01,1929
2017-06-01,1864
2017-07-01,2022
2017-08-01,1775
2017-09-01,1977
2017-10-01,1918
2017-11-01,1825
2017-12-01,1842
2018-01-01,1778
2018-02-01,1825
2018-03-01,1822
2018-04-01,1770
2018-05-01,1757
2018-06-01,1637
2018-07-01,1773
2018-08-01,1775
2018-09-01,1678
2018-10-01,1744
2018-11-01,1747
2018-12-01,1706
2019-01-01,1785
2019-02-01,1772
2019-03-01,1726
2019-04-01,1620
2019-05-01,1573
2019-06-01,1701
2019-07-01,1699
2019-08-01,1641
2019-09-01,1655
2019-10-01,1472
2019-11-01,1534
2019-12-01,1785
2020-01-01,1824
2020-02-01,1679
2020-03-01,1394
2020-04-01,1254
2020-05-01,7814
2020-06-01,7675
2020-07-01,5035
2020-08-01,4670
2020-09-01,3291
2020-10-01,3446
2020-11-01,2623
2020-12-01,2431
2021-01-01,2596
2021-02-01,2494
2021-03-01,2257
2021-04-01,2284
2021-05-01,2308
2021-06-01,2082
2021-07-01,2305
2021-08-01,2239
2021-09-01,2015
2021-10-01,1978
