DATE,LNS17900000
2010-01-01,2829
2010-02-01,2791
2010-03-01,2846
2010-04-01,2737
2010-05-01,3030
2010-06-01,3062
2010-07-01,2850
2010-08-01,2864
2010-09-01,2959
2010-10-01,2875
2010-11-01,2783
2010-12-01,3145
2011-01-01,3036
2011-02-01,2896
2011-03-01,2771
2011-04-01,2845
2011-05-01,2865
2011-06-01,2809
2011-07-01,2952
2011-08-01,2705
2011-09-01,2990
2011-10-01,2706
2011-11-01,2707
2011-12-01,2704
2012-01-01,2848
2012-02-01,2661
2012-03-01,2714
2012-04-01,2696
2012-05-01,2682
2012-06-01,2684
2012-07-01,2688
2012-08-01,2863
2012-09-01,2843
2012-10-01,2727
2012-11-01,2814
2012-12-01,2682
2013-01-01,2542
2013-02-01,2808
2013-03-01,2668
2013-04-01,2429
2013-05-01,2472
2013-06-01,2452
2013-07-01,2610
2013-08-01,2582
2013-09-01,2452
2013-10-01,2727
2013-11-01,2388
2013-12-01,2494
2014-01-01,2494
2014-02-01,2130
2014-03-01,2239
2014-04-01,2511
2014-05-01,2265
2014-06-01,2367
2014-07-01,2239
2014-08-01,2252
2014-09-01,2202
2014-10-01,2164
2014-11-01,2190
2014-12-01,2213
2015-01-01,2136
2015-02-01,2289
2015-03-01,2137
2015-04-01,2074
2015-05-01,1969
2015-06-01,2228
2015-07-01,2156
2015-08-01,1972
2015-09-01,2028
2015-10-01,1881
2015-11-01,1780
2015-12-01,1807
2016-01-01,1980
2016-02-01,1946
2016-03-01,1731
2016-04-01,1947
2016-05-01,2100
2016-06-01,1798
2016-07-01,1759
2016-08-01,1743
2016-09-01,1682
2016-10-01,1884
2016-11-01,1967
2016-12-01,1879
2017-01-01,1542
2017-02-01,1640
2017-03-01,1804
2017-04-01,1673
2017-05-01,1658
2017-06-01,1746
2017-07-01,1558
2017-08-01,1649
2017-09-01,1718
2017-10-01,1733
2017-11-01,1450
2017-12-01,1652
2018-01-01,1627
2018-02-01,1512
2018-03-01,1704
2018-04-01,1615
2018-05-01,1612
2018-06-01,1454
2018-07-01,1540
2018-08-01,1465
2018-09-01,1635
2018-10-01,1439
2018-11-01,1553
2018-12-01,1369
2019-01-01,1429
2019-02-01,1775
2019-03-01,1472
2019-04-01,1537
2019-05-01,1569
2019-06-01,1454
2019-07-01,1323
2019-08-01,1410
2019-09-01,1550
2019-10-01,1445
2019-11-01,1382
2019-12-01,1407
2020-01-01,1401
2020-02-01,1453
2020-03-01,1467
2020-04-01,2581
2020-05-01,3490
2020-06-01,3097
2020-07-01,3060
2020-08-01,2782
2020-09-01,2778
2020-10-01,2595
2020-11-01,2118
2020-12-01,2345
2021-01-01,2241
2021-02-01,2027
2021-03-01,2195
2021-04-01,1990
2021-05-01,2271
2021-06-01,1908
2021-07-01,2260
2021-08-01,1899
2021-09-01,1970
2021-10-01,1712
