DATE,LNS17500000
2010-01-01,9729
2010-02-01,9774
2010-03-01,9652
2010-04-01,9707
2010-05-01,9618
2010-06-01,9413
2010-07-01,9117
2010-08-01,9182
2010-09-01,9338
2010-10-01,9239
2010-11-01,9284
2010-12-01,9322
2011-01-01,8915
2011-02-01,8807
2011-03-01,8680
2011-04-01,8639
2011-05-01,8733
2011-06-01,8646
2011-07-01,8634
2011-08-01,8682
2011-09-01,8445
2011-10-01,8732
2011-11-01,8383
2011-12-01,8114
2012-01-01,7852
2012-02-01,7791
2012-03-01,7727
2012-04-01,7774
2012-05-01,7702
2012-06-01,7727
2012-07-01,7721
2012-08-01,7562
2012-09-01,7268
2012-10-01,7035
2012-11-01,7119
2012-12-01,7176
2013-01-01,7480
2013-02-01,7328
2013-03-01,7130
2013-04-01,7062
2013-05-01,7011
2013-06-01,6909
2013-07-01,6789
2013-08-01,6589
2013-09-01,6740
2013-10-01,6491
2013-11-01,6584
2013-12-01,6096
2014-01-01,5702
2014-02-01,5798
2014-03-01,5818
2014-04-01,5634
2014-05-01,5412
2014-06-01,5314
2014-07-01,5228
2014-08-01,5245
2014-09-01,5230
2014-10-01,4853
2014-11-01,4776
2014-12-01,4734
2015-01-01,4669
2015-02-01,4567
2015-03-01,4423
2015-04-01,4412
2015-05-01,4598
2015-06-01,4426
2015-07-01,4256
2015-08-01,4129
2015-09-01,4005
2015-10-01,4116
2015-11-01,4162
2015-12-01,4095
2016-01-01,3974
2016-02-01,3992
2016-03-01,4140
2016-04-01,4206
2016-05-01,3970
2016-06-01,3917
2016-07-01,4084
2016-08-01,4081
2016-09-01,4105
2016-10-01,4017
2016-11-01,3803
2016-12-01,3781
2017-01-01,3944
2017-02-01,3798
2017-03-01,3707
2017-04-01,3548
2017-05-01,3608
2017-06-01,3409
2017-07-01,3276
2017-08-01,3399
2017-09-01,3382
2017-10-01,3188
2017-11-01,3343
2017-12-01,3262
2018-01-01,3225
2018-02-01,3158
2018-03-01,3062
2018-04-01,3111
2018-05-01,3180
2018-06-01,3117
2018-07-01,3115
2018-08-01,2888
2018-09-01,2852
2018-10-01,2852
2018-11-01,2863
2018-12-01,3038
2019-01-01,3144
2019-02-01,2893
2019-03-01,2928
2019-04-01,3042
2019-05-01,2851
2019-06-01,2809
2019-07-01,2886
2019-08-01,2916
2019-09-01,2794
2019-10-01,2809
2019-11-01,3006
2019-12-01,2713
2020-01-01,2598
2020-02-01,2662
2020-03-01,2854
2020-04-01,3347
2020-05-01,11802
2020-06-01,10202
2020-07-01,9581
2020-08-01,8854
2020-09-01,7471
2020-10-01,6493
2020-11-01,6307
2020-12-01,5950
2021-01-01,5878
2021-02-01,5607
2021-03-01,5519
2021-04-01,5433
2021-05-01,5231
2021-06-01,5324
2021-07-01,4906
2021-08-01,4562
2021-09-01,4396
2021-10-01,3982
