Social Group,Unemployment Rate (%),Series
Total (Orange County),5.4,Orange
White (Orange County),4.7,Orange
Black (Orange County),7.1,Orange
Latinx (Orange County),7.4,Orange
Latinx Men (Orange County),8.1,Orange
Latinx Women (Orange County),6.6,Orange
White Men (Orange County),4.8,Orange
White Women (Orange County),4.6,Orange
Black Men (Orange County),5.5,Orange
Black Women (Orange County),8.7,Orange
White Men (Newburgh),3.3,Newburgh
White Women (Newburgh),6.6,Newburgh
Black Men (Newburgh),6.5,Newburgh
Black Women (Newburgh),14.2,Newburgh
Total (Newburgh),6.9,Newburgh
Latinx Men (Newburgh),8.4,Newburgh
Latinx Women (Newburgh),1.8,Newburgh
Latinx (Newburgh),5.4,Newburgh
White (Newburgh),4.9,Newburgh
Black (Newburgh),11.1,Newburgh
